DateTime;Value (Cluster1.OGREY1_G1_KONTROLL_REG_P_SP_SP_LAST);Unit (Cluster1.OGREY1_G1_KONTROLL_REG_P_SP_SP_LAST);Value (Cluster1.OGREY1_G1_KONTROLL_REG_NIVA_SP_SP_LAST);Unit (Cluster1.OGREY1_G1_KONTROLL_REG_NIVA_SP_SP_LAST);Value (Cluster1.OGREY1_G1_KONTROLL_REG_NIVA_SP_TM_PV);Unit (Cluster1.OGREY1_G1_KONTROLL_REG_NIVA_SP_TM_PV);Value (Cluster1.OGREY1_G1_KONTROLL_REG_P_SP_TM_PV);Unit (Cluster1.OGREY1_G1_KONTROLL_REG_P_SP_TM_PV);Value (Cluster1.OGREY1_G1_KONTROLL_AGC_DB_SP);Unit (Cluster1.OGREY1_G1_KONTROLL_AGC_DB_SP)
2023-12-31 23:00:00.000;8200;kW;-0,5;m;-0,5;m;600;kW;0;None
2024-01-01 00:00:00.000;8200;kW;-0,5;m;-0,5;m;4264,748807683333;kW;5,475555462666667;None
2024-01-01 01:00:00.000;8200;kW;-0,5;m;-0,5;m;5600;kW;5,599999905;None
2024-01-01 02:00:00.000;8200;kW;-0,5;m;-0,5;m;5503,84444445;kW;5,502222220116667;None
2024-01-01 03:00:00.000;8200;kW;-0,5;m;-0,5;m;5500;kW;5,5;None
2024-01-01 04:00:00.000;8200;kW;-0,5;m;-0,5;m;5500;kW;5,5;None
2024-01-01 05:00:00.000;8200;kW;-0,5;m;-0,5;m;6075,3882353;kW;6,086666573766667;None
2024-01-01 06:00:00.000;8200;kW;-0,5;m;-0,5;m;6100;kW;6,099999905;None
2024-01-01 07:00:00.000;8200;kW;-0,5;m;-0,5;m;6100;kW;6,099999905;None
2024-01-01 08:00:00.000;8200;kW;-0,5;m;-0,5;m;6100;kW;6,099999905;None
2024-01-01 09:00:00.000;9516,666666666666;kW;-0,5;m;-0,5;m;6568,6554488833335;kW;11,477778147233334;None
2024-01-01 10:00:00.000;10000;kW;-0,5;m;-0,5;m;10001,666666666666;kW;10,035555564;None
2024-01-01 11:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 12:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 13:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 14:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 15:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 16:00:00.000;10000;kW;-0,5;m;-0,5;m;10000;kW;10;None
2024-01-01 17:00:00.000;10033,333333333334;kW;-0,5;m;-0,5;m;10081,677777666666;kW;10;None
2024-01-01 18:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,490277777833333;None
2024-01-01 19:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,5;None
2024-01-01 20:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,5;None
2024-01-01 21:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,5;None
2024-01-01 22:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,5;None
2024-01-01 23:00:00.000;10500;kW;-0,5;m;-0,5;m;10500;kW;10,5;None
