DateTime;Value (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PR_TIME_SP_SP_LAST);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PR_TIME_SP_SP_LAST);Value (Cluster1.OGREY1_INNTAK_RISTRENSK_AUTOSTART_DIFF_SP_SP_LAST);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_AUTOSTART_DIFF_SP_SP_LAST);Value (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PR_TIME_SP_TM_PV);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PR_TIME_SP_TM_PV);Value (Cluster1.OGREY1_INNTAK_RIST_FALLTAP_PV);Unit (Cluster1.OGREY1_INNTAK_RIST_FALLTAP_PV);Value (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PADRAG_G1_SP_SP_LAST);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PADRAG_G1_SP_SP_LAST);Value (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PADRAG_G1_SP_TM_PV);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_MAKS_PADRAG_G1_SP_TM_PV);Value (Cluster1.OGREY1_INNTAK_RISTRENSK_AUTOSTART_DIFF_SP_TM_PV);Unit (Cluster1.OGREY1_INNTAK_RISTRENSK_AUTOSTART_DIFF_SP_TM_PV)
2023-12-31 23:00:00.000;5;None;65;cm;;None;18,436802758166667;cm;80;%;;%;65;cm
2024-01-01 00:00:00.000;5;None;65;cm;;None;23,301624721745004;cm;80;%;;%;65;cm
2024-01-01 01:00:00.000;5;None;65;cm;;None;31,4727804385;cm;80;%;;%;65;cm
2024-01-01 02:00:00.000;5;None;65;cm;;None;32,6974487315;cm;80;%;;%;65;cm
2024-01-01 03:00:00.000;5;None;65;cm;;None;34,262388017333336;cm;80;%;;%;65;cm
2024-01-01 04:00:00.000;5;None;65;cm;;None;35,554911295;cm;80;%;;%;65;cm
2024-01-01 05:00:00.000;5;None;65;cm;;None;41,17627885583333;cm;80;%;;%;65;cm
2024-01-01 06:00:00.000;5;None;65;cm;;None;40,847210354333335;cm;80;%;;%;65;cm
2024-01-01 07:00:00.000;5;None;65;cm;;None;40,6086730965;cm;80;%;;%;65;cm
2024-01-01 08:00:00.000;5;None;65;cm;;None;17,2874281145;cm;80;%;;%;65;cm
2024-01-01 09:00:00.000;5;None;69,16666666666667;cm;;None;34,672005971893334;cm;80;%;;%;69,91666666666667;cm
2024-01-01 10:00:00.000;5;None;70;cm;;None;66,926078796;cm;80;%;;%;69,91666666666667;cm
2024-01-01 11:00:00.000;5;None;70;cm;;None;49,746935102;cm;80;%;;%;70;cm
2024-01-01 12:00:00.000;5;None;70;cm;;None;38,781570857333335;cm;80;%;;%;70;cm
2024-01-01 13:00:00.000;5;None;70;cm;;None;39,34002558416667;cm;80;%;;%;70;cm
2024-01-01 14:00:00.000;5;None;70;cm;;None;39,6696111895;cm;80;%;;%;70;cm
2024-01-01 15:00:00.000;5;None;70;cm;;None;40,086718665333336;cm;80;%;;%;70;cm
2024-01-01 16:00:00.000;5;None;70;cm;;None;40,270466275;cm;80;%;;%;70;cm
2024-01-01 17:00:00.000;5;None;70;cm;;None;41,2594392565;cm;80;%;;%;70;cm
2024-01-01 18:00:00.000;5;None;70;cm;;None;45,54807239083333;cm;80;%;;%;70;cm
2024-01-01 19:00:00.000;5;None;70;cm;;None;46,104596455666666;cm;80;%;;%;70;cm
2024-01-01 20:00:00.000;5;None;70;cm;;None;47,03575346266667;cm;80;%;;%;70;cm
2024-01-01 21:00:00.000;5;None;70;cm;;None;47,760893503666665;cm;80;%;;%;70;cm
2024-01-01 22:00:00.000;5;None;70;cm;;None;48,8359642025;cm;80;%;;%;70;cm
2024-01-01 23:00:00.000;5;None;70;cm;;None;50,187244414333335;cm;80;%;;%;70;cm
2024-01-02 00:00:00.000;5;None;70;cm;;None;44,947745004333335;cm;80;%;;%;70;cm
2024-01-02 01:00:00.000;5;None;70;cm;;None;46,16692225166667;cm;80;%;;%;70;cm
2024-01-02 02:00:00.000;5;None;70;cm;;None;46,830889384;cm;80;%;;%;70;cm
2024-01-02 03:00:00.000;5;None;70;cm;;None;49,622864193;cm;80;%;;%;70;cm
2024-01-02 04:00:00.000;5;None;70;cm;;None;51,71468734766667;cm;80;%;;%;69,91666666666667;cm
2024-01-02 05:00:00.000;5;None;70;cm;;None;52,583628761166665;cm;80;%;;%;70;cm
2024-01-02 06:00:00.000;5;None;70;cm;;None;43,476818931333334;cm;80;%;;%;70;cm
2024-01-02 07:00:00.000;5;None;70;cm;;None;44,38535690283334;cm;80;%;;%;70;cm
2024-01-02 08:00:00.000;5;None;70;cm;;None;46,533222198833336;cm;80;%;;%;70;cm
2024-01-02 09:00:00.000;5;None;70;cm;;None;48,84135776083333;cm;80;%;;%;70;cm
2024-01-02 10:00:00.000;5;None;70;cm;;None;51,6549619035;cm;80;%;;%;70;cm
2024-01-02 11:00:00.000;5;None;70;cm;;None;55,6316079025;cm;80;%;;%;70;cm
